https://f10.vcaa.vic.edu.au/copyright-statement

Learning area/Capability,Discipline/Language,Level/Band,Sequence,Pathway,Achievement standard extract,Mode,Strand,Sub-strand,Content description code,Content description stem,Content description,Elaboration stem,Elaboration
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M01,Students learn to:,"establish the formulas for areas of rectangles, triangles and parallelograms and use these in problem-solving",This may involve students:,building on the understanding of the area of rectangles to develop formulas for the area of triangles
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M01,Students learn to:,"establish the formulas for areas of rectangles, triangles and parallelograms and use these in problem-solving",This may involve students:,establishing that the area of a triangle is half the area of an appropriate rectangle
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M01,Students learn to:,"establish the formulas for areas of rectangles, triangles and parallelograms and use these in problem-solving",This may involve students:,using area formulas for rectangles and triangles to solve problems involving areas of surfaces
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M02,Students learn to:,"solve problems involving the volume of right prisms including rectangular and triangular prisms, using established formulas and appropriate units",This may involve students:,building a rectangular prism out of unit cubes and showing that the measure of volume is the same as would be found by multiplying the 3 edge lengths or by multiplying the area of the base by the height/length
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M02,Students learn to:,"solve problems involving the volume of right prisms including rectangular and triangular prisms, using established formulas and appropriate units",This may involve students:,"developing the connection between the area of the parallel cross-section (base), the height and the volume of a rectangular or triangular prism to other prisms "
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M02,Students learn to:,"solve problems involving the volume of right prisms including rectangular and triangular prisms, using established formulas and appropriate units",This may involve students:,connecting the area of the floor space and the number of floors of a high-rise building to calculate the volume of a building 
Mathematics,,Level 7,,,They establish and use formulas for the areas of triangles and parallelograms and the volumes of rectangular and triangular prisms to solve problems.,,,,VC2M7M02,Students learn to:,"solve problems involving the volume of right prisms including rectangular and triangular prisms, using established formulas and appropriate units",This may involve students:,"using dynamic geometry software, spatial reasoning and prediction to derive the formula for the volume of prisms"
Mathematics,,Level 7,,,"They describe the relationships between the radius, diameter and circumference of a circle.",,,,VC2M7M03,Students learn to:,"describe the relationship between $\pi$ and the circumference, radius and diameter of a circle",This may involve students:,"recognising the features of circles and their relationships to one another; for example, labelling the parts of a circle including centre, radius, diameter and circumference and using one of radius, diameter or circumference to determine the measure of the other 2; and understanding that the diameter of a circle is twice the radius, or that the radius is the circumference divided by $2\pi$"
Mathematics,,Level 7,,,"They describe the relationships between the radius, diameter and circumference of a circle.",,,,VC2M7M03,Students learn to:,"describe the relationship between $\pi$ and the circumference, radius and diameter of a circle",This may involve students:,"comparing the circumference of circles in relation to their radius and diameter with materials and measuring, to establish measurement formulas; for example, using a compass to draw several circles, then using string to approximate the circumference, comparing the length of string to the diameter of the circle "
Mathematics,,Level 7,,,"They describe the relationships between the radius, diameter and circumference of a circle.",,,,VC2M7M03,Students learn to:,"describe the relationship between $\pi$ and the circumference, radius and diameter of a circle",This may involve students:,"investigating $\pi$ as the constant in the proportional relationship between the circumference of a circle and its diameter, and historical approximations from different civilisations, including Egypt, Babylon, Greece, India and China"
Mathematics,,Level 7,,,"They describe the relationships between the radius, diameter and circumference of a circle.",,,,VC2M7M03,Students learn to:,"describe the relationship between $\pi$ and the circumference, radius and diameter of a circle",This may involve students:,"investigating the applications and significance of circles in everyday life of Aboriginal and Torres Strait Islander Peoples, such as in basketry, symbols and architecture, recognising the relationships between the centre, radius, diameter and circumference"
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP02,Students learn to:,"classify triangles, quadrilaterals and other polygons according to their side and angle properties; identify and reason about relationships",This may involve students:,"using strips of paper with parallel sides to make triangles and quadrilaterals, and contrasting the rigidity of triangles with the flexibility of quadrilaterals"
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP02,Students learn to:,"classify triangles, quadrilaterals and other polygons according to their side and angle properties; identify and reason about relationships",This may involve students:,constructing triangles with 3 given side lengths and discussing the question 'Can any 3 lengths be used to form the sides of a triangle?' 
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP02,Students learn to:,"classify triangles, quadrilaterals and other polygons according to their side and angle properties; identify and reason about relationships",This may involve students:,"identifying and communicating about side and angle properties of scalene, isosceles, equilateral, right-angled, acute and obtuse triangles using geometric conventions "
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP02,Students learn to:,"classify triangles, quadrilaterals and other polygons according to their side and angle properties; identify and reason about relationships",This may involve students:,"describing, comparing and contrasting squares, rectangles, rhombuses, parallelograms, kites and trapeziums, explaining the relationships between these shapes"
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP04,Students learn to:,"design algorithms involving a sequence of steps and decisions that will sort and classify sets of shapes according to their attributes, and describe how the algorithms work",This may involve students:,"creating a classification scheme for triangles based on sides and angles, using a flow chart that uses sequences and decisions"
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP04,Students learn to:,"design algorithms involving a sequence of steps and decisions that will sort and classify sets of shapes according to their attributes, and describe how the algorithms work",This may involve students:,"creating a flow chart or hierarchy for quadrilaterals that shows the relationships between trapeziums, parallelograms, rhombuses, rectangles, squares and kites "
Mathematics,,Level 7,,,Students classify polygons according to their features and design an algorithm to sort and classify shapes.,,,,VC2M7SP04,Students learn to:,"design algorithms involving a sequence of steps and decisions that will sort and classify sets of shapes according to their attributes, and describe how the algorithms work",This may involve students:,"creating a classification scheme for regular, irregular, concave or convex polygons that are sorted according to the number of sides"
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,deconstructing packaging to identify shapes and nets
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,"using different nets to construct prisms and determining which nets will make a cube, rectangular prism, triangular prism or pyramid "
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,"using aerial views of buildings and other three-dimensional structures to visualise the footprint made by the building or structure, identifying prisms that could approximate the structure "
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,building objects by interpreting isometric and perspective drawings 
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,"using isometric and square grid paper to draw views of front, back, side, top and bottom of objects"
Mathematics,,Level 7,,,"They represent objects two-dimensionally in different ways, describing the usefulness of these representations.",,,,VC2M7SP01,Students learn to:,represent three-dimensional objects in 2 dimensions; discuss and reason about the advantages and disadvantages of different representations,This may involve students:,exploring different two-dimensional representations of objects in Aboriginal and/or Torres Strait Islander artworks or cultural maps of Country/Place
Mathematics,,Level 7,,,They use coordinates to describe transformations of points in the plane.,,,,VC2M7SP03,Students learn to:,"describe the effect of transformations of a set of points using coordinates in the Cartesian plane, including translations, reflections in an axis, and rotations about the origin",This may involve students:,"using digital tools to transform shapes in the Cartesian plane, describing and recording the transformations"
Mathematics,,Level 7,,,They use coordinates to describe transformations of points in the plane.,,,,VC2M7SP03,Students learn to:,"describe the effect of transformations of a set of points using coordinates in the Cartesian plane, including translations, reflections in an axis, and rotations about the origin",This may involve students:,"describing patterns and investigating different ways to produce the same transformation, such as using 2 successive reflections to provide the same result as a translation "
Mathematics,,Level 7,,,They use coordinates to describe transformations of points in the plane.,,,,VC2M7SP03,Students learn to:,"describe the effect of transformations of a set of points using coordinates in the Cartesian plane, including translations, reflections in an axis, and rotations about the origin",This may involve students:,"experimenting with, creating and re-creating patterns using combinations of translations, reflections and rotations, using digital tools"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"understanding that summarising data by calculating measures of centre can help make sense of the data, commenting on skewness or symmetry of data and the use of mean and median as representative measures"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"comparing the mean, median, mode and range of displays of data from a given context, and explaining how outliers may affect summary statistics "
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,recognising how different data sets can have the same measures of central tendency and experimenting with how varying data affects these measures
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"acquiring continuous numerical data by taking measurement samples during a science experiment, observation or field study, comparing measures of central tendency and identifying any anomalies in the distribution of data"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"using ordered stem-and-leaf plots to record and display numerical data collected in a class investigation, such as constructing a class plot of height in centimetres on a shared stem-and-leaf plot for which the stems 12, 13, 14, 15, 16 and 17 have been produced"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"comparing variation in attributes by category using split stem-and-leaf plots or dot plots; interpreting the shape of the distribution using qualitative terms to describe 'symmetry', 'skewness' and 'average' in terms of the mean, median and mode, and the amount of variation based on qualitative descriptions of the spread of the data "
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"connecting features of the data display (for example, highest frequency, clusters, gaps, symmetry or skewness) to the mode, range and median, and the question in context; describing the shape of distributions using terms such as 'positive skew', 'negative skew', 'symmetric' and 'bi-modal' and discussing the location of the median and mean on these distributions "
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"using mean and median to compare data sets, identifying possible outliers and explaining how these may affect the comparison; recognising how different displays make specific information about data more evident, including proportions, and measures of mean, mode or median, spread and extreme values; understanding that the median and the mean will be the same or similar for symmetric distributions but different for distributions that are skewed "
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"comparing the mean and median of data with and without extremes; for example, estimation of standard measures for length or mass, informally considering for a given set of data what might constitute an unexpected, unusual or extreme data value"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST03,Students learn to:,"plan and conduct statistical investigations for issues involving discrete and continuous numerical data, and data collected from primary and secondary sources; analyse and interpret distributions of data and report findings in terms of shape and summary statistics",This may involve students:,"obtaining secondary data from newspapers, the internet or the Australian Bureau of Statistics"
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST03,Students learn to:,"plan and conduct statistical investigations for issues involving discrete and continuous numerical data, and data collected from primary and secondary sources; analyse and interpret distributions of data and report findings in terms of shape and summary statistics",This may involve students:,investigating secondary data relating to the distribution and use of non-renewable resources around the world
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST03,Students learn to:,"plan and conduct statistical investigations for issues involving discrete and continuous numerical data, and data collected from primary and secondary sources; analyse and interpret distributions of data and report findings in terms of shape and summary statistics",This may involve students:,conducting an investigation to draw conclusions about whether teenagers have faster reaction times than adults
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST03,Students learn to:,"plan and conduct statistical investigations for issues involving discrete and continuous numerical data, and data collected from primary and secondary sources; analyse and interpret distributions of data and report findings in terms of shape and summary statistics",This may involve students:,"conducting an investigation to support claims that a modification of a science, technology, engineering and mathematics (STEM) related design has improved performance "
Mathematics,,Level 7,,,"Students plan and conduct statistical investigations involving discrete and continuous numerical data, using appropriate displays.",,,,VC2M7ST03,Students learn to:,"plan and conduct statistical investigations for issues involving discrete and continuous numerical data, and data collected from primary and secondary sources; analyse and interpret distributions of data and report findings in terms of shape and summary statistics",This may involve students:,using secondary data from the Australian Reconciliation Barometer to conduct and report on statistical investigations relating to Aboriginal and Torres Strait Islander Peoples
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"understanding that summarising data by calculating measures of centre can help make sense of the data, commenting on skewness or symmetry of data and the use of mean and median as representative measures"
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"comparing the mean, median, mode and range of displays of data from a given context, and explaining how outliers may affect summary statistics "
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,recognising how different data sets can have the same measures of central tendency and experimenting with how varying data affects these measures
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST01,Students learn to:,"acquire data sets for discrete and continuous numerical variables and calculate the range, median, mean and mode; make and justify decisions about which measures of central tendency provide useful insights into the nature of the distribution of data",This may involve students:,"acquiring continuous numerical data by taking measurement samples during a science experiment, observation or field study, comparing measures of central tendency and identifying any anomalies in the distribution of data"
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"using ordered stem-and-leaf plots to record and display numerical data collected in a class investigation, such as constructing a class plot of height in centimetres on a shared stem-and-leaf plot for which the stems 12, 13, 14, 15, 16 and 17 have been produced"
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"comparing variation in attributes by category using split stem-and-leaf plots or dot plots; interpreting the shape of the distribution using qualitative terms to describe 'symmetry', 'skewness' and 'average' in terms of the mean, median and mode, and the amount of variation based on qualitative descriptions of the spread of the data "
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"connecting features of the data display (for example, highest frequency, clusters, gaps, symmetry or skewness) to the mode, range and median, and the question in context; describing the shape of distributions using terms such as 'positive skew', 'negative skew', 'symmetric' and 'bi-modal' and discussing the location of the median and mean on these distributions "
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"using mean and median to compare data sets, identifying possible outliers and explaining how these may affect the comparison; recognising how different displays make specific information about data more evident, including proportions, and measures of mean, mode or median, spread and extreme values; understanding that the median and the mean will be the same or similar for symmetric distributions but different for distributions that are skewed "
Mathematics,,Level 7,,,"They interpret data in terms of the shape of distribution and summary statistics, identifying possible outliers. They decide which measure of central tendency is most suitable and explain their reasoning.",,,,VC2M7ST02,Students learn to:,"create different types of displays of numerical data, including dot plots and stem-and-leaf plots, using software where appropriate; describe and compare the distribution of data, commenting on the shape, centre and spread including outliers and determining the range, median, mean and mode",This may involve students:,"comparing the mean and median of data with and without extremes; for example, estimation of standard measures for length or mass, informally considering for a given set of data what might constitute an unexpected, unusual or extreme data value"
Mathematics,,Level 7,,,"Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events.",,,,VC2M7P01,Students learn to:,identify the sample space for single-stage experiments; assign probabilities to the possible outcomes and predict relative frequencies for related experiments,This may involve students:,"discussing the meaning of probability terminology, for example, 'probability', 'sample space', 'favourable outcome', 'trial', 'experiment' and 'event'"
Mathematics,,Level 7,,,"Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events.",,,,VC2M7P01,Students learn to:,identify the sample space for single-stage experiments; assign probabilities to the possible outcomes and predict relative frequencies for related experiments,This may involve students:,"listing sample spaces for games involving throwing a coin or a dice, spinners, or lucky dip "
Mathematics,,Level 7,,,"Students list sample spaces for single-step experiments, assign probabilities to outcomes of events and predict relative frequencies for related events.",,,,VC2M7P01,Students learn to:,identify the sample space for single-stage experiments; assign probabilities to the possible outcomes and predict relative frequencies for related experiments,This may involve students:,assigning the probability for throwing a 6 on a dice and using this to predict the number of times a 6 will occur when a dice is thrown multiple times
Mathematics,,Level 7,,,"They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.",,,,VC2M7P02,Students learn to:,"conduct repeated chance experiments and run simulations with a large number of trials using digital tools; compare predicted with observed results, explaining the differences and the effect of sample size on the outcomes",This may involve students:,developing an understanding of the law of large numbers through using experiments and simulations to conduct large numbers of trials for seemingly random events and discussing findings
Mathematics,,Level 7,,,"They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.",,,,VC2M7P02,Students learn to:,"conduct repeated chance experiments and run simulations with a large number of trials using digital tools; compare predicted with observed results, explaining the differences and the effect of sample size on the outcomes",This may involve students:,conducting simulations using online simulation tools and comparing the combined results of a large number of trials to predicted results
Mathematics,,Level 7,,,"They conduct repeated single-step chance experiments and run simulations using digital tools, giving reasons for differences between predicted and observed results.",,,,VC2M7P02,Students learn to:,"conduct repeated chance experiments and run simulations with a large number of trials using digital tools; compare predicted with observed results, explaining the differences and the effect of sample size on the outcomes",This may involve students:,"exploring and observing Aboriginal and/or Torres Strait Islander children's instructive games – for example, Koara from the Jawi and Bardi Peoples of Sunday Island in Western Australia – to investigate probability, predicting outcomes for an event and comparing with increasingly larger numbers of trials, and comparing observed and expected results"

https://f10.vcaa.vic.edu.au/copyright-statement
